,country,state,lat,lon
461,Brazil,Paraná,40.1025506,70.7959455
462,Australia,Tasmania,-42.035067,146.6366887
463,Brazil,Central,22.2818286,114.1582784
464,Mexico,Baja California,30.0338923,-115.1425107
465,Switzerland,Thurgau,47.5859649,9.1428769
466,Portugal,Braga,41.5510583,-8.4280045
467,Slovenia,Kranj,46.2432635,14.3549501
468,Slovakia,Nitriansky kraj,48.222978,18.34378526032214
469,Romania,Sibiu,45.7973912,24.1519202
470,United States,West,0.5090396,34.5731341
471,Belarus,Homyel’ Voblasc’,52.4238936,31.0131698
472,France,Bay of Plenty,-37.9503756,176.93828736155422
473,United States,Upper West,52.5048842,13.332840451442024
474,Czechia,Ústecký kraj,48.9637758,6.8859333
475,Uganda,Central Region,0.2815436,32.6270774
476,Russian Federation,Orenburg Oblast,52.0269262,54.7276647
477,Romania,Satu Mare,47.7891763,22.8725598
478,Philippines,Cordillera,17.35971005,121.07169230452945
479,Oman,Muscat,23.5907634,58.44600501458025
480,Morocco,Casablanca-Settat,33.2627128,-7.9639028
481,Malta,Ir-Rabat,36.0428907,14.2398479
482,Brazil,Mato Grosso do Sul,-19.5852564,-54.4794731
483,Portugal,Viseu,40.6574713,-7.9138664
484,Russian Federation,Vologda,60.0391461,43.1215213
485,Portugal,Viana do Castelo,41.8803257,-8.523255293554344
486,Brazil,Ceará,40.610753700000004,-3.114293123393815
487,Macao,Macau,22.1757605,113.5514142
488,Saudi Arabia,Mecca Region,21.6698063,41.4996029
489,United States,Martinique,14.6367927,-61.01582685063731
490,Albania,Tirana,41.3279485,19.8185512
491,Norway,Østfold,,
492,United States,Valletta,35.8989818,14.5136759
493,Brazil,Rondônia,,
494,India,Odisha,20.5431241,84.6897321
495,Spain,Santa Ana,33.7494951,-117.8732213
496,Italy,Friuli Venezia Giulia,46.151042,13.055904
497,United States,Surxondaryo,37.9486708,67.7982679
498,Japan,Hyōgo,21.65567105,105.829977789939
499,Poland,Lublin,51.250559,22.5701022
500,Russian Federation,Murmansk,68.970665,33.07497
501,Ireland,Connaught,51.0410667,-114.082943
502,Israel,Haifa,32.8191218,34.9983856
503,Sweden,Västerbotten,,
504,Russian Federation,Komi,63.9881421,54.3326073
505,Mexico,Michoacán,,
506,Brazil,Federal District,-15.7754462,-47.7970891
507,Netherlands,Drenthe,52.9067922,6.6368423
508,Norway,Vestfold og Telemark,59.39626765,9.061898163187937
509,Croatia,Istria,45.193434499999995,13.915053587355306
510,Philippines,Papua,-5.6816069,144.2489081
511,Morocco,Marrakesh-Safi,31.6258257,-7.9891608
512,Turkey,Kocaeli,40.7632288,29.9262644
513,Romania,Galaţi,10.4908818,14.1852379
514,Tunisia,Nābul,42.6910405,23.3987343
515,United States,Hwanghae-bukto,,
516,Libya,Tripoli,32.896672,13.1777923
517,Lebanon,South Governorate,33.33971235,35.29259105
518,China,Anhui,32.0,117.0
519,Czechia,Central Bohemia,50.0601579,13.83074794209991
520,Malaysia,Sabah,5.4257359,117.0326392
521,Germany,Thuringia,50.9014721,11.0377839
522,India,Puducherry,11.9340568,79.8306447
523,India,Uttarakhand,30.0417376,79.089691
524,China,Fujian,26.5450001,117.842778
525,South Africa,Northern Cape,-29.573402,21.2051361
526,United States,Howland Island,0.8075145,-176.61686999040523
527,New Zealand,Waikato,-37.77922725,175.2010323246593
528,United States,Trarza,17.922642,-14.8476017
529,Spain,Castille and León,50.2490299,3.1244961
530,Honduras,Francisco Morazán,,
531,Kazakhstan,Hokkaido,43.4519831,142.8197834
532,Kuwait,Al Asimah,29.09261275,48.51334671327169
533,Indonesia,Bali,48.8588897,2.3200410217200766
534,Russian Federation,Penza,53.200001,45.0
535,United Kingdom,West Bay,45.732272550000005,-61.19793131302212
536,Egypt,Alexandria,31.199004,29.894378
537,France,Normandy,49.0677708,0.3138532
538,Germany,Mecklenburg-Vorpommern,53.7735064,12.5755471
539,China,Henan,34.0000001,113.9999999
540,United States,Zeeland,51.4162975,3.7028061
541,China,Tibet,29.8556443,90.8749807
542,Austria,Burgenland,47.5000001,16.4166666
543,Turkey,Van,47.6586772,-2.7599079
544,Slovakia,Žilinský kraj,,
545,"Bolivia, Plurinational State of",La Paz,-16.4955455,-68.1336229
546,Brazil,Goiás,15.380501500000001,73.8317012646639
547,Poland,Warmia-Masuria,54.2084102,21.7446959
548,Indonesia,East Java,-7.6977397,112.4914199
549,Russian Federation,Ulyanovsk,54.3107593,48.3642771
550,Norway,Vestfold,57.2983388,9.6564832
551,France,Northern Mindanao,8.40067265,124.70998901929246
552,Tunisia,Al Munastīr,,
